title,category,volumes,user_id,id,last_updated,status
Haikyu!!,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,45,2026-03-22 11:30:47.449747+00,green
Himouto! Umaru-chan,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,46,2026-03-22 11:30:47.449747+00,green
Horimiya,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,47,2026-03-22 11:30:47.449747+00,green
Jujutsu Kaisen (มหาเวทผนึกมาร),Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,48,2026-03-22 11:30:47.449747+00,yellow
Kemono Jihen (คดีประหลาดคนปีศาจ),Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,49,2026-03-22 11:30:47.449747+00,yellow
Moriarty the Patriot,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,50,2026-03-22 11:30:47.449747+00,green
My Hero Academia,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,51,2026-03-22 11:30:47.449747+00,green
One Piece,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""65"", ""66"", ""67"", ""68"", ""69"", ""70"", ""71"", ""72"", ""73"", ""74"", ""75"", ""76"", ""77"", ""78"", ""79"", ""80"", ""81"", ""82"", ""83"", ""84"", ""85"", ""86"", ""87"", ""88"", ""89"", ""90"", ""91"", ""92"", ""93"", ""94"", ""95"", ""96"", ""97"", ""98"", ""99"", ""100"", ""101"", ""102"", ""103"", ""104"", ""105"", ""106"", ""107"", ""108"", ""109"", ""110"", ""111"", ""112"", ""113""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,52,2026-08-27T08:12:12.596Z,yellow
One Punch Man,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,53,2026-03-22 11:30:47.449747+00,yellow
OST,Comic,"[""1"", ""2"", ""3"", ""4"", ""5""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,54,2026-03-22 11:30:47.449747+00,yellow
Sailor Moon,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,55,2026-03-22 11:30:47.449747+00,green
Sapiens,Comic,"[""1"", ""2""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,56,2026-03-22 11:30:47.449747+00,green
She in XX doll,Comic,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,57,2026-03-22 11:30:47.449747+00,green
Sherlock (Dex),Comic,"[""\u0e01\u0e32\u0e23\u0e27\u0e34\u0e08\u0e31\u0e22\u0e2a\u0e35\u0e0a\u0e21\u0e1e\u0e39"", ""\u0e23\u0e2b\u0e31\u0e2a\u0e21\u0e23\u0e13\u0e30"", ""\u0e40\u0e01\u0e21\u0e2d\u0e31\u0e19\u0e22\u0e34\u0e48\u0e07\u0e43\u0e2b\u0e0d\u0e48"", ""\u0e40\u0e2b\u0e15\u0e38\u0e2d\u0e37\u0e49\u0e2d\u0e09\u0e32\u0e27\u0e43\u0e19\u0e40\u0e1a\u0e25\u0e40\u0e01\u0e23\u0e40\u0e27\u0e35\u0e22 (\u0e20\u0e32\u0e04\u0e15\u0e49\u0e19)"", ""\u0e40\u0e2b\u0e15\u0e38\u0e2d\u0e37\u0e49\u0e2d\u0e09\u0e32\u0e27\u0e43\u0e19\u0e40\u0e1a\u0e25\u0e40\u0e01\u0e23\u0e40\u0e27\u0e35\u0e22 (\u0e20\u0e32\u0e04\u0e08\u0e1a)""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,58,2026-03-22 11:30:47.449747+00,yellow
Spy x Family,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,59,2026-08-27T07:03:22.557Z,yellow
สืบคดีปริศนาหมอยาตำรับโคมแดง ,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,60,2026-08-27T08:10:42.838Z,yellow
